Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,PutObject,Requests-Tier1,events.womenarts.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",4
AmazonS3,PutObject,Requests-Tier1,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",249
AmazonS3,PutObject,Requests-Tier1,corpwatch.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",5
AmazonS3,GetObject,Requests-Tier2,actions.energyactioncoalition.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",28
AmazonS3,GetObject,Requests-Tier2,seiuvoice.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",64115
AmazonS3,GetObject,Requests-Tier2,notyoursoldier.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",595
AmazonS3,GetObject,Requests-Tier2,corpwatch.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",99849
AmazonS3,GetObject,Requests-Tier2,codepink4peace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",58706
AmazonS3,GetObject,Requests-Tier2,stepitup2007.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",9114
AmazonS3,GetObject,Requests-Tier2,events.unitedforpeace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",55
AmazonS3,GetObject,Requests-Tier2,events.momsrising.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",30
AmazonS3,GetObject,Requests-Tier2,events.radicaldesigns.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",3
AmazonS3,GetObject,Requests-Tier2,events.catalogcutdown.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",12
AmazonS3,GetObject,Requests-Tier2,actionecho.radicaldesigns.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",10
